iter	Passed	Remaining
680	3737	1750
681	3741	1744
682	3747	1739
683	3753	1733
684	3758	1728
685	3764	1722
686	3769	1717
687	3774	1711
688	3779	1705
689	3784	1700
690	3789	1694
691	3795	1689
692	3800	1683
693	3805	1677
694	3810	1672
695	3816	1666
696	3821	1661
697	3827	1655
698	3832	1650
699	3837	1644
700	3843	1639
701	3848	1633
702	3853	1628
703	3858	1622
704	3863	1616
705	3868	1611
706	3874	1605
707	3879	1600
708	3886	1595
709	3891	1589
710	3899	1585
711	3905	1579
712	3910	1574
713	3916	1568
714	3921	1563
715	3928	1558
716	3933	1552
717	3939	1547
718	3945	1541
719	3950	1536
720	3956	1530
721	3961	1525
722	3967	1519
723	3972	1514
724	3977	1508
725	3982	1503
726	3987	1497
727	3993	1491
728	3998	1486
729	4003	1480
730	4008	1475
731	4014	1469
732	4019	1464
733	4025	1458
734	4030	1453
735	4035	1447
736	4040	1441
737	4045	1436
738	4050	1430
739	4055	1424
740	4060	1419
741	4065	1413
742	4071	1408
743	4076	1402
744	4081	1396
745	4086	1391
746	4091	1385
747	4096	1380
748	4102	1374
749	4107	1369
750	4112	1363
751	4116	1357
752	4121	1352
753	4127	1346
754	4132	1340
755	4137	1335
756	4142	1329
757	4147	1324
758	4152	1318
759	4157	1313
760	4163	1307
761	4168	1301
762	4173	1296
763	4178	1290
764	4183	1285
765	4189	1279
766	4194	1274
767	4199	1268
768	4205	1263
769	4211	1258
770	4218	1252
771	4224	1247
772	4230	1242
773	4236	1237
774	4243	1231
775	4249	1226
776	4255	1221
777	4260	1215
778	4266	1210
779	4271	1204
780	4277	1199
781	4283	1194
782	4289	1188
783	4295	1183
784	4301	1177
785	4307	1172
786	4313	1167
787	4318	1161
788	4324	1156
789	4329	1150
790	4335	1145
791	4340	1140
792	4346	1134
793	4351	1129
794	4357	1123
795	4363	1118
796	4369	1112
797	4374	1107
798	4379	1101
799	4384	1096
800	4389	1090
801	4394	1085
802	4400	1079
803	4405	1074
804	4411	1068
805	4416	1063
806	4422	1057
807	4428	1052
808	4434	1046
809	4439	1041
810	4445	1036
811	4450	1030
812	4455	1024
813	4460	1019
814	4466	1013
815	4471	1008
816	4476	1002
817	4481	997
818	4486	991
819	4491	985
820	4496	980
821	4502	974
822	4507	969
823	4512	963
824	4518	958
825	4523	952
826	4528	947
827	4533	941
828	4537	936
829	4542	930
830	4547	924
831	4553	919
832	4558	913
833	4563	908
834	4568	902
835	4573	897
836	4578	891
837	4583	886
838	4588	880
839	4593	874
840	4598	869
841	4603	863
842	4608	858
843	4613	852
844	4618	847
845	4624	841
846	4630	836
847	4635	830
848	4640	825
849	4645	819
850	4650	814
851	4654	808
852	4660	803
853	4665	797
854	4670	792
855	4675	786
856	4680	781
857	4685	775
858	4691	770
859	4697	764
860	4702	759
861	4707	753
862	4712	748
863	4717	742
864	4722	737
865	4728	731
866	4734	726
867	4740	720
868	4746	715
869	4751	710
870	4756	704
871	4762	699
872	4767	693
873	4773	688
874	4778	682
875	4784	677
876	4789	671
877	4794	666
878	4799	660
879	4804	655
880	4811	649
881	4817	644
882	4822	638
883	4827	633
884	4833	628
885	4839	622
886	4844	617
887	4849	611
888	4854	606
889	4860	600
890	4866	595
891	4871	589
892	4876	584
893	4882	578
894	4887	573
895	4893	567
896	4898	562
897	4903	556
898	4908	551
899	4913	545
900	4918	540
901	4924	535
902	4929	529
903	4935	524
904	4941	518
905	4946	513
906	4952	507
907	4957	502
908	4962	496
909	4968	491
910	4973	485
911	4978	480
912	4983	474
913	4988	469
914	4994	463
915	4999	458
916	5005	453
917	5010	447
918	5016	442
919	5023	436
920	5028	431
921	5034	425
922	5040	420
923	5045	414
924	5050	409
925	5054	403
926	5059	398
927	5065	392
928	5070	387
929	5076	382
930	5081	376
931	5086	371
932	5091	365
933	5096	360
934	5100	354
935	5106	349
936	5112	343
937	5117	338
938	5122	332
939	5127	327
940	5132	321
941	5137	316
942	5143	310
943	5148	305
944	5153	299
945	5159	294
946	5164	289
947	5169	283
948	5174	278
949	5180	272
950	5185	267
951	5191	261
952	5196	256
953	5202	250
954	5207	245
955	5212	239
956	5218	234
957	5225	229
958	5230	223
959	5235	218
960	5241	212
961	5247	207
962	5254	201
963	5260	196
964	5266	191
965	5272	185
966	5277	180
967	5283	174
968	5288	169
969	5293	163
970	5299	158
971	5305	152
972	5310	147
973	5315	141
974	5321	136
975	5326	130
976	5331	125
977	5337	120
978	5342	114
979	5347	109
980	5352	103
981	5357	98
982	5362	92
983	5368	87
984	5373	81
985	5378	76
986	5384	70
987	5389	65
988	5394	59
989	5399	54
990	5405	49
991	5414	43
992	5422	38
993	5430	32
994	5437	27
995	5444	21
996	5453	16
997	5461	10
998	5469	5
999	5476	0
